2429	West-Afrika	7729885	1
2429	West	7729885	0
2429	Centraal-Afrika	7729886	0
2429	Afrika	6255146	0
2429	Nigeria	2328926	0
64235	Utrecht 2745912	1
64235	Utrecht	2745912	0
64235	Utrecht	2745912	0
64235	Utrecht	2745912	0
213283	Amsterdam	2759794	0
213283	New York	5128581	0
213283	Ottawa	6094817	0
213283	Londen	2643743	0
213283	VS	6252001	0
213283	Canada	6251999	0
213283	Verenigd Koninkrijk	0
213283	China	1814991	0
213283	Rusland	2017370	0
213283	Australië	2077456	0
213283	Verenigde Staten	6252001	0
213283	Canada	6251999	0
213283	VS	6252001	0
213283	China	1814991	0
213283	Hongkong	1819730	0
213283	Taiwan	1668284	0
78388	Rusland	2017370	1
78388	Rusland	2017370	0
78388	Bachtsjisarai	712969	0
78388	Simferopol	693805	0
78388	Sebastopol	694423	0
78388	Krim	703883	0
78388	Rusland	2017370	0
78388	Rusland	2017370	0
78388	Oekraïne	690791	0
78388	Rusland	2017370	0
78388	Rusland	2017370	0
78388	Rusland	2017370	0
78388	Moskou	524901	0
78388	Krim	703883	0
78388	Rusland	2017370	0
78388	Moskou	524901	0
78388	Bachtsjisarai	712969	0
78388	Krim	703883	0
78388	Bachtsjisarai	712969	0
78388	Krim	703883	0
78388	Krim	703883	0
78388	Krim	703883	0
78388	Krim	703883	0
78388	Rusland	2017370	0
78388	Bachtsjisarai	712969	0
